Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
514195,"VENTA AL POR MAYOR DE COMBUSTIBLES (EXCEPTO PARA REVENTA) COMPRENDIDOS EN LALEY 11244 EXCEPTO PARA AUTOMOTORES",466123,"Venta al por mayor de combustibles (excepto para reventa) comprendidos en la Ley N° 23.966excepto para automotores"
514199,"VENTA AL POR MAYOR DE GAS EN GARRAFAS, LEÑA, CARBON Y OTROS COMBUSTIBLES NCP;EXCEPTO PARA AUTOMOTORES",466129,"Venta al por mayor de combustibles, lubricantes, leña y carbón, excepto gas licuado ycombustibles y lubricantes para automotores"
514201,VENTA AL POR MAYOR DE HIERRO Y ACERO,466200,Venta al por mayor de metales y minerales metalíferos
514202,VENTA AL POR MAYOR DE METALES Y MINERALES METALÍFEROS NO FERROSOS,466200,Venta al por mayor de metales y minerales metalíferos
514310,VENTA AL POR MAYOR DE ABERTURAS,466310,Venta al por mayor de aberturas
514320,VENTA AL POR MAYOR DE PRODUCTOS DE MADERA EXCEPTO MUEBLES,466320,"Venta al por mayor de productos de madera, excepto muebles"
514330,VENTA AL POR MAYOR DE ARTÍCULOS DE FERRETERÍA,466330,Venta al por mayor de artículos de ferretería y materiales eléctricos
514340,VENTA AL POR MAYOR DE PINTURAS Y PRODUCTOS CONEXOS,466340,Venta al por mayor de pinturas y productos conexos
514350,VENTA AL POR MAYOR DE CRISTALES Y ESPEJOS,466350,Venta al por mayor de cristales y espejos
514390,VENTA AL POR MAYOR DE ARTÍCULOS PARA LA CONSTRUCCIÓN N.C.P.,466330,Venta al por mayor de artículos de ferretería y materiales eléctricos
514390,VENTA AL POR MAYOR DE ARTÍCULOS PARA LA CONSTRUCCIÓN N.C.P.,466360,"Venta al por mayor de artículos para plomería, instalación de gas y calefacción"
514390,VENTA AL POR MAYOR DE ARTÍCULOS PARA LA CONSTRUCCIÓN N.C.P.,466391,"Venta al por mayor de artículos de loza, cerámica y porcelana de uso en construcción"
514390,VENTA AL POR MAYOR DE ARTÍCULOS PARA LA CONSTRUCCIÓN N.C.P.,466399,Venta al por mayor de artículos para la construcción n.c.p.
514910,"VENTA AL POR MAYOR DE PRODUCTOS INTERMEDIOS N.C.P., DESPERDICIOS Y DESECHOSTEXTILES",466910,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos textiles"
514920,"VENTA AL POR MAYOR DE PRODUCTOS INTERMEDIOS N.C.P., DESPERDICIOS Y DESECHOS DEPAPEL Y CARTÓN",466920,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos de papel y cartón"
514931,VENTA AL POR MAYOR DE SUSTANCIAS QUIMICAS INDUSTRIALES,466939,"Venta al por mayor de productos intermedios, desperdicios y desechos de vidrio, caucho, gomay químicos n.c.p."
514932,VENTA AL POR MAYOR DE PRODUCTOS DE CAUCHO Y GOMA,466931,Venta al por mayor de artículos de plástico
514933,VENTA AL POR MAYOR DE PRODUCTOS QUIMICOS DERIVADOS DEL PETROLEO,466939,"Venta al por mayor de productos intermedios, desperdicios y desechos de vidrio, caucho, gomay químicos n.c.p."
514934,"VENTA AL POR MAYOR DE ABONOS, FERTILIZANTES Y PRODUCTOS AGROQUIMICOS",466932,"Venta al por mayor de abonos, fertilizantes y plaguicidas"
514939,"VENTA AL POR MAYOR DE PRODUCTOS INTERMEDIOS, DESPERDICIOS Y DESECHOS DE VIDRIO,DE PLÁSTICO, DE CAUCHO Y GOMA, Y QUÍMICOS N.C.P",466939,"Venta al por mayor de productos intermedios, desperdicios y desechos de vidrio, caucho, gomay químicos n.c.p."
514940,"VENTA AL POR MAYOR DE PRODUCTOS INTERMEDIOS N.C.P., DESPERDICIOS Y DESECHOSMETÁLICOS",466940,"Venta al por mayor de productos intermedios n.c.p., desperdicios y desechos metálicos"
514990,"VENTA AL POR MAYOR DE PRODUCTOS INTERMEDIOS, DESPERDICIOS Y DESECHOS N.C.P.",466990,"Venta al por mayor de productos intermedios, desperdicios y desechos n.c.p."
515110,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO EN LOS SECTORESAGROPECUARIO, JARDINERÍA, SILVICULTURA, PESCA Y CAZA",465310,"Venta al por mayor de máquinas, equipos e implementos de uso en los sectores agropecuario,jardinería, silvicultura, pesca y caza"
515120,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO ENLA ELABORACIÓNDE ALIMENTOS, BEBIDAS Y TABACO",465320,"Venta al por mayor de máquinas, equipos e implementos de uso en la elaboración de alimentos,bebidas y tabaco"
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
515130,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E INSTRUMENTOS DE USO EN LA FABRICACIÓNDE TEXTILES, PRENDAS Y ACCESORIOS DE VESTIR, CALZADO, ARTÍCULOS DE CUERO YMARROQUINERÍA",465330,"Venta al por mayor de máquinas, equipos e implementos de uso en la fabricación de textiles,prendas y accesorios de vestir, calzado, artículos de cuero y marroquinería"
515140,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO EN IMPRENTAS,ARTES GRÁFICAS Y ACTIVIDADES CONEXAS",465340,"Venta al por mayor de máquinas, equipos e implementos de uso en imprentas, artes gráficas yactividades conexas"
515150,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO MEDICO YPARAMÉDICO",465350,"Venta al por mayor de máquinas, equipos e implementos de uso médico y paramédico"
515160,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO EN LA INDUSTRIA DELPLÁSTICO Y EL CAUCHO",465360,"Venta al por mayor de máquinas, equipos e implementos de uso en la industria del plástico y delcaucho"
515190,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPOS E IMPLEMENTOS DE USO ESPECIAL N.C.P.",465390,"Venta al por mayor de máquinas, equipos e implementos de uso especial n.c.p."
515200,VENTA AL POR MAYOR DE MÁQUINAS - HERRAMIENTA DE USO GENERAL,465400,Venta al por mayor de máquinas - herramienta de uso general
515300,"VENTA AL POR MAYOR DE VEHÍCULOS, EQUIPOS Y MÁQUINAS PARA EL TRANSPORTEFERROVIARIO, AÉREO Y DE NAVEGACIÓN",465500,"Venta al por mayor de vehículos, equipos y máquinas para el transporte ferroviario, aéreo y denavegación"
515411,VENTA AL POR MAYOR DE MUEBLES  NO METALICOS E INSTALACIONES PARA OFICINA,465610,Venta al por mayor de muebles e instalaciones para oficinas
515412,VENTA AL POR MAYOR DE MUEBLES METALICOS E INSTALACIONES PARA OFICINAS,465610,Venta al por mayor de muebles e instalaciones para oficinas
515421,"VENTA AL POR MAYOR DE MUEBLES NO METALICOS E INSTALACIONES PARA LA INDUSTRIA, ELCOMERCIO Y LOS SERVICIOS N.C.P.",465690,"Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p."
515422,"VENTA AL POR MAYOR DE MUEBLES METALICOS E INSTALACIONES PARA LA INDUSTRIA, ELCOMERCIO Y LOS SERVICIOS N.C.P.",465690,"Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p."
515910,"VENTA AL POR MAYOR DE EQUIPO PROFESIONAL Y CIENTÍFICO E INSTRUMENTOS DE MEDIDA YDE CONTROL",465930,"Venta al por mayor de equipo profesional y científico e instrumentos de medida y de controln.c.p."
515921,"VENTA AL POR MAYOR DE EQUIPOS Y APARATOS DE RADIO, TELEVISION Y COMUNICACIONES",465210,Venta al por mayor de equipos de telefonía y comunicaciones
515922,"VENTA AL POR MAYOR DE MAQUINAS DE OFICINAS, CALCULO Y CONTABILIDAD",465920,"Venta al por mayor de maquinaria y equipo de oficina, excepto equipo informático"
515929,"VENTA AL POR MAYOR DE EQUIPOS INFORMÁTICOS Y MÁQUINAS ELECTRÓNICAS DE ESCRIBIR YCALCULAR ; VENTA AL POR MAYOR DE MÁQUINAS Y EQUIPOS DECOMUNICACIONES, CONTROLY SEGURIDAD N.C.P.",465100,"Venta al por mayor de equipos, periféricos, accesorios y programas informáticos"
515929,"VENTA AL POR MAYOR DE EQUIPOS INFORMÁTICOS Y MÁQUINAS ELECTRÓNICAS DE ESCRIBIR YCALCULAR ; VENTA AL POR MAYOR DE MÁQUINAS Y EQUIPOS DECOMUNICACIONES, CONTROLY SEGURIDAD N.C.P.",465220,Venta al por mayor de componentes electrónicos
515929,"VENTA AL POR MAYOR DE EQUIPOS INFORMÁTICOS Y MÁQUINAS ELECTRÓNICAS DE ESCRIBIR YCALCULAR ; VENTA AL POR MAYOR DE MÁQUINAS Y EQUIPOS DECOMUNICACIONES, CONTROLY SEGURIDAD N.C.P.",465910,Venta al por mayor de máquinas y equipo de control y seguridad
515990,"VENTA AL POR MAYOR DE MÁQUINAS, EQUIPO Y MATERIALES CONEXOS N.C.P.",465990,"Venta al por mayor de máquinas, equipo y materiales conexos n.c.p."
519000,VENTA AL POR MAYOR DE MERCANCÍAS N.C.P.,469010,Venta al por mayor de insumos agropecuarios diversos
519000,VENTA AL POR MAYOR DE MERCANCÍAS N.C.P.,469090,Venta al por mayor de mercancías n.c.p.
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
521110,"VENTA AL POR MENOR EN HIPERMERCADOS CON PREDOMINIO DE PRODUCTOS ALIMENTICIOSY BEBIDAS",471110,Venta al por menor en hipermercados
521120,"VENTA AL POR MENOR EN SUPERMERCADOS CON PREDOMINIO DE PRODUCTOSALIMENTICIOSY BEBIDAS",471120,Venta al por menor en supermercados
521130,"VENTA AL POR MENOR EN MINIMERCADOS CON PREDOMINIO DE PRODUCTOS ALIMENTICIOS YBEBIDAS",471130,Venta al por menor en minimercados
521191,"VENTA AL POR MENOR DE TABACO, CIGARROS Y CIGARRILLOS EN KIOSCOS POLIRRUBROS YCOMERCIOS NO ESPECIALIZADOS",471192,"Venta al por menor de tabaco, cigarros y cigarrillos en kioscos, polirrubros y comercios noespecializados n.c.p."
521192,"VENTA AL POR MENOR DE ARTICULOS VARIOS, EXCEPTO TABACOS, CIGARROS Y CIGARRILLOS,EN KIOSCOS POLIRRUBROS Y COMERCIOS NO ESPECIALIZADOS",471191,"Venta al por menor en kioscos, polirrubros y comercios no especializados n.c.p., excepto tabaco,cigarros y cigarrillos"
521200,"VENTA AL POR MENOR EXCEPTO LA ESPECIALIZADA, SIN PREDOMINIO DE PRODUCTOSALIMENTICIOS Y BEBIDAS",471900,"Venta al por menor en comercios no especializados, sin predominio de productos alimenticios ybebidas"
522111,VENTA AL POR MENOR PRODUCTOS LACTEOS,472111,Venta al por menor de productos lácteos
522112,VENTA AL POR MENOR DE FIAMBRES Y PRODUCTOS DE ROTISERIAS,472112,Venta al por menor de fiambres y embutidos
522120,VENTA AL POR MENOR DE PRODUCTOS DE ALMACÉN Y DIETÉTICA,472120,Venta al por menor de productos de almacén y dietética
522210,"VENTA AL POR MENOR DE CARNES ROJAS, MENUDENCIAS Y CHACINADOS FRESCOS",472130,"Venta al por menor de carnes rojas, menudencias y chacinados frescos"
522220,"VENTA AL POR MENOR DE HUEVOS, CARNE DE AVES Y  PRODUCTOS DE GRANJA Y DE LA CAZAN.C.P.",472140,"Venta al por menor de huevos, carne de aves y productos de granja y de la caza"
522300,"VENTA AL POR MENOR DE FRUTAS, LEGUMBRES Y HORTALIZAS FRESCAS",472160,"Venta al por menor de frutas, legumbres y hortalizas frescas"
522411,VENTA AL POR MENOR DE PAN,472171,Venta al por menor de pan y productos de panadería
522412,"VENTA AL POR MENOR DE PRODUCTOS DE PANADERÍA, EXCEPTO PAN",472171,Venta al por menor de pan y productos de panadería
522421,VENTA AL POR MENOR DE GOLOSINAS,472172,"Venta al por menor de bombones, golosinas y demás productos de confitería"
522422,VENTA AL POR MENOR DE BOMBONES Y DEMÁS PRODUCTOS DE  CONFITERIA,472172,"Venta al por menor de bombones, golosinas y demás productos de confitería"
522501,VENTA AL POR MENOR DE VINOS,472200,Venta al por menor de bebidas en comercios especializados
522502,"VENTA AL POR MENOR DE BEBIDAS, EXCEPTO VINOS",472200,Venta al por menor de bebidas en comercios especializados
522910,VENTA AL POR MENOR DE PESCADOS Y PRODUCTOS DE LA PESCA,472150,Venta al por menor de pescados y productos de la pesca
522991,VENTA AL POR MENOR DE PRODUCTOS ALIMENTICIOS N.C.P EN COMERCIOS ESPECIALIZADOS,472190,"Venta al por menor de productos alimenticios n.c.p., en comercios especializados"
522992,"VENTA AL POR MENOR  TABACO, CIGARROS Y CIGARRILLOS, EN COMERCIOS ESPECIALIZADOS",472300,Venta al por menor de tabaco en comercios especializados
523110,VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y DE HERBORISTERÍA,477311,Venta al por menor de productos farmacéuticos y herboristería
523110,VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y DE HERBORISTERÍA,477312,Venta al por menor de medicamentos de uso humano
523121,VENTA AL POR MENOR DE PRODUCTOS COSMÉTICOS Y DE PERFUMERIA,477320,"Venta al por menor de productos cosméticos, de tocador y de perfumería"
523122,VENTA AL POR MENOR DE PRODUCTOS COSMETICOS Y  DE TOCADOR,477320,"Venta al por menor de productos cosméticos, de tocador y de perfumería"
523130,"VENTA AL POR MENOR DE INSTRUMENTAL MEDICO Y ODONTOLÓGICO Y ARTICULOSORTOPEDICOS",477330,Venta al por menor de instrumental médico y odontológico y artículos ortopédicos
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
523210,"VENTA AL POR MENOR DE HILADOS, TEJIDOS Y ARTÍCULOS DE MERCERÍA",475110,"Venta al por menor de hilados, tejidos y artículos de mercería"
523220,VENTA AL POR MENOR DE CONFECCIONES PARA EL HOGAR,475120,Venta al por menor de confecciones para el hogar
523290,VENTA AL POR MENOR DE ARTÍCULOS TEXTILES N.C.P. EXCEPTO PRENDAS DE VESTIR,475190,Venta al por menor de artículos textiles n.c.p. excepto prendas de vestir
523310,"VENTA AL POR MENOR DE ROPA INTERIOR, MEDIAS, PRENDAS PARA DORMIR Y  PARA LA PLAYA",477110,"Venta al por menor de ropa interior, medias, prendas para dormir y para la playa"
523320,"VENTA AL POR MENOR DE INDUMENTARIA DE TRABAJO, UNIFORMES Y  GUARDAPOLVOS",477120,Venta al por menor de uniformes escolares y guardapolvos
523330,VENTA AL POR MENOR DE INDUMENTARIA PARA BEBES Y NIÑOS,477130,Venta al por menor de indumentaria para bebés y niños
523390,"VENTA AL POR MENOR DE PRENDAS Y ACCESORIOS DE VESTIR N.C.P. EXCEPTO CALZADO,ARTICULOS DE MARROQUINERIA, PARAGUAS Y SIMILARES",477150,Venta al por menor de prendas de cuero
523390,"VENTA AL POR MENOR DE PRENDAS Y ACCESORIOS DE VESTIR N.C.P. EXCEPTO CALZADO,ARTICULOS DE MARROQUINERIA, PARAGUAS Y SIMILARES",477190,Venta al por menor de prendas y accesorios de vestir n.c.p.
523410,VENTA AL POR MENOR DE ARTÍCULOS REGIONALES Y DE TALABARTERÍA,477210,Venta al por menor de artículos de talabartería y artículos regionales
523420,VENTA AL POR MENOR DE CALZADO EXCEPTO EL ORTOPÉDICO,477220,"Venta al por menor de calzado, excepto el ortopédico y el deportivo"
523420,VENTA AL POR MENOR DE CALZADO EXCEPTO EL ORTOPÉDICO,477230,Venta al por menor de calzado deportivo
523490,"VENTA AL POR MENOR DE ARTÍCULOS DE MARROQUINERÍA, PARAGUAS Y  SIMILARES N.C.P.",477290,"Venta al por menor de artículos de marroquinería, paraguas y similares n.c.p."
523510,"VENTA AL POR MENOR DE MUEBLES EXCEPTO PARA LA OFICINA, LA INDUSTRIA, EL COMERCIO YLOS SERVICIOS; ARTÍCULOS DE MIMBRE Y CORCHO",475410,"Venta al por menor de muebles para el hogar, artículos de mimbre y corcho"
523520,VENTA AL POR MENOR DE COLCHONES Y SOMIERES,475420,Venta al por menor de colchones y somieres
523530,VENTA AL POR MENOR DE ARTÍCULOS DE ILUMINACIÓN,475430,Venta al por menor de artículos de iluminación
523540,VENTA AL POR MENOR DE ARTÍCULOS DE BAZAR Y MENAJE,475440,Venta al por menor de artículos de bazar y menaje
523550,"VENTA AL POR MENOR DE ARTEFACTOS  PARA EL HOGAR, ELÉCTRICOS, A GAS, A KEROSENE UOTROS COMBUSTIBLES",475300,"Venta al por menor de electrodomésticos, artefactos para el hogar y equipos de audio y video"
523560,"VENTA AL POR MENOR DE INSTRUMENTOS MUSICALES, EQUIPOS DE SONIDO,CASETES DEAUDIO Y VIDEO, DISCOS DE AUDIO Y VIDEO",475300,"Venta al por menor de electrodomésticos, artefactos para el hogar y equipos de audio y video"
523560,"VENTA AL POR MENOR DE INSTRUMENTOS MUSICALES, EQUIPOS DE SONIDO,CASETES DEAUDIO Y VIDEO, DISCOS DE AUDIO Y VIDEO",476200,Venta al por menor de CD ́s y DVD ́s de audio y video grabados
523590,VENTA AL POR MENOR DE ARTÍCULOS PARA EL HOGAR N.C.P.,474020,Venta al por menor de aparatos de telefonía y comunicación
523590,VENTA AL POR MENOR DE ARTÍCULOS PARA EL HOGAR N.C.P.,475300,"Venta al por menor de electrodomésticos, artefactos para el hogar y equipos de audio y video"
523590,VENTA AL POR MENOR DE ARTÍCULOS PARA EL HOGAR N.C.P.,475490,Venta al por menor de artículos para el hogar n.c.p.
523610,VENTA AL POR MENOR DE ABERTURAS,475210,Venta al por menor de aberturas
523620,VENTA AL POR MENOR DE MADERAS Y ARTÍCULOS DE MADERA  Y CORCHO EXCEPTO MUEBLES,475220,"Venta al por menor de maderas y artículos de madera y corcho, excepto muebles"
523630,VENTA AL POR MENOR DE ARTÍCULOS DE FERRETERÍA,475230,Venta al por menor de artículos de ferretería y materiales eléctricos
523640,VENTA AL POR MENOR DE PINTURAS Y PRODUCTOS CONEXOS,475240,Venta al por menor de pinturas y productos conexos
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
523650,VENTA AL POR MENOR DE ARTÍCULOS PARA PLOMERÍA E INSTALACIÓN DE GAS,475250,Venta al por menor de artículos para plomería e instalación de gas
523660,"VENTA AL POR MENOR DE CRISTALES, ESPEJOS, MAMPARAS Y CERRAMIENTOS",475260,"Venta al por menor de cristales, espejos, mamparas y cerramientos"
523670,"VENTA AL POR MENOR DE PAPELES PARA PARED, REVESTIMIENTOS PARA PISOS Y ARTÍCULOSSIMILARES PARA LA DECORACIÓN",475270,"Venta al por menor de papeles para pared, revestimientos para pisos y artículos similares para ladecoración"
523690,VENTA AL POR MENOR DE MATERIALES DE CONSTRUCCIÓN N.C.P.,475290,Venta al por menor de materiales de construcción n.c.p.
523710,VENTA AL POR MENOR DE ARTÍCULOS DE ÓPTICA Y FOTOGRAFÍA,477410,Venta al por menor de artículos de óptica y fotografía
523720,"VENTA AL POR MENOR DE ARTÍCULOS DE RELOJERÍA, JOYERÍA Y FANTASÍA",477420,Venta al por menor de artículos de relojería y joyería
523720,"VENTA AL POR MENOR DE ARTÍCULOS DE RELOJERÍA, JOYERÍA Y FANTASÍA",477430,Venta al por menor de bijouterie y fantasía
523810,VENTA AL POR MENOR DE LIBROS Y PUBLICACIONES,476110,Venta al por menor de libros
523820,VENTA AL POR MENOR DE DIARIOS Y REVISTAS,476120,Venta al por menor de diarios y revistas
523830,"VENTA AL POR MENOR DE PAPEL, CARTÓN, MATERIALES DE EMBALAJE Y ARTICULOS DELIBRERÍA",476130,"Venta al por menor de papel, cartón, materiales de embalaje y artículos de librería"
523911,VENTA AL POR MENOR DE FLORES Y  PLANTAS,477490,Venta al por menor de artículos nuevos n.c.p.
523911,VENTA AL POR MENOR DE FLORES Y  PLANTAS,477441,"Venta al por menor de flores, plantas y otros productos de vivero"
523912,VENTA AL POR MENOR DE SEMILLAS,477442,Venta al por menor de semillas
523913,VENTA AL POR MENOR DE  ABONOS Y FERTILIZANTES,477443,Venta al por menor de abonos y fertilizantes
523914,VENTA AL POR MENOR DE AGROQUIMICOS,477444,Venta al por menor de agroquímicos
523919,VENTA AL POR MENOR DE  OTROS PRODUCTOS DE VIVERO N.C.P.,477441,"Venta al por menor de flores, plantas y otros productos de vivero"
523920,VENTA AL POR MENOR DE MATERIALES Y PRODUCTOS DE LIMPIEZA,477450,Venta al por menor de materiales y productos de limpieza
523930,VENTA AL POR MENOR DE JUGUETES Y ARTÍCULOS DE COTILLÓN,476400,"Venta al por menor de juguetes, artículos de cotillón y juegos de mesa"
523941,"VENTA AL POR MENOR DE ARTÍCULOS DE DEPORTE, CAMPING, PLAYA Y ESPARCIMIENTO",476310,Venta al por menor de equipos y artículos deportivos
523942,VENTA AL POR MENOR DE ARMAS Y ARTICULOS DE CAZA,476320,"Venta al por menor de armas, artículos para la caza y pesca"
523943,VENTA AL POR MENOR  DE TRICICLOS Y BICICLETAS,476310,Venta al por menor de equipos y artículos deportivos
523944,VENTA AL POR MENOR DE LANCHAS Y EMBARCACIONES DEPORTIVAS,476310,Venta al por menor de equipos y artículos deportivos
523945,VENTA AL POR MENOR DE EQUIPO E INDUMENTARIA DEPORTIVA,477140,Venta al por menor de indumentaria deportiva
523950,"VENTA AL POR MENOR DE MÁQUINAS Y EQUIPOS PARA OFICINA Y SUS COMPONENTES YREPUESTOS",474010,"Venta al por menor de equipos, periféricos, accesorios y programas informáticos"
523961,"VENTA AL POR MENOR DE COMBUSTIBLES COMPRENDIDOS EN LA LEY 11244, EXCEPTO DEPRODUCCIÓN PROPIA Y EXCEPTO PARA AUTOMOTORES Y MOTOCICLETAS",477461,"Venta al por menor de combustibles comprendidos en la ley 23.966, excepto de producciónpropia y excepto para automotores y motocicletas"
523962,"VENTA AL POR MENOR DE COMBUSTIBLE DE PRODUCCIÓN PROPIA COMPRENDIDOS EN LA LEY11244 EXCEPTO PARA VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS",477462,"Venta al por menor de combustible de producción propia comprendidos en la ley 23.966excepto para vehículos automotores y motocicletas"
523969,VENTA AL POR MENOR DE COMBUSTIBLES NCP,477469,"Venta al por menor de fuel oil, gas en garrafas, carbón y leña"
523970,VENTA AL POR MENOR DE PRODUCTOS VETERINARIOS Y ANIMALES DOMÉSTICOS,477470,"Venta al por menor de productos veterinarios, animales domésticos y alimento balanceado paramascotas"
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
523990,"VENTA AL POR MENOR DE ARTÍCULOS DE COLECCIÓN, OBRAS DE ARTE, Y  ARTICULOS NUEVOSN.C.P.",477480,Venta al por menor de obras de arte
523990,"VENTA AL POR MENOR DE ARTÍCULOS DE COLECCIÓN, OBRAS DE ARTE, Y  ARTICULOS NUEVOSN.C.P.",477490,Venta al por menor de artículos nuevos n.c.p.
524100,VENTA AL POR MENOR DE MUEBLES USADOS,477810,Venta al por menor de muebles usados
524200,"VENTA AL POR MENOR DE LIBROS, REVISTAS Y SIMILARES USADOS",477820,"Venta al por menor de libros, revistas y similares usados"
524910,VENTA AL POR MENOR DE ANTIGÜEDADES,477830,Venta al por menor de antigüedades
524990,"VENTA AL POR MENOR DE ARTÍCULOS USADOS N.C.P. EXCLUIDOS AUTOMOTORES YMOTOCICLETAS",477840,"Venta al por menor de oro, monedas, sellos y similares"
524990,"VENTA AL POR MENOR DE ARTÍCULOS USADOS N.C.P. EXCLUIDOS AUTOMOTORES YMOTOCICLETAS",477890,Venta al por menor de artículos usados n.c.p. excepto automotores y motocicletas
525100,"VENTA AL POR MENOR POR CORREO, TELEVISIÓN, INTERNET Y OTROS MEDIOS DECOMUNICACIÓN",479101,Venta al por menor por internet
525100,"VENTA AL POR MENOR POR CORREO, TELEVISIÓN, INTERNET Y OTROS MEDIOS DECOMUNICACIÓN",479109,"Venta al por menor por correo, televisión y otros medios de comunicación n.c.p."
525200,VENTA AL POR MENOR EN PUESTOS MÓVILES,478010,"Venta al por menor de alimentos, bebidas y tabaco en puestos móviles y mercados"
525200,VENTA AL POR MENOR EN PUESTOS MÓVILES,478090,Venta al por menor de productos n.c.p. en puestos móviles y mercados
525900,VENTA AL POR MENOR NO REALIZADA EN ESTABLECIMIENTOS  N.C.P.,479900,Venta al por menor no realizada en establecimientos n.c.p.
526100,REPARACIÓN DE CALZADO Y ARTÍCULOS DE MARROQUINERÍA,952200,Reparación de calzado y artículos de marroquinería
526200,REPARACIÓN DE ARTÍCULOS ELÉCTRICOS DE USO DOMÉSTICO,952100,Reparación de artículos eléctricos y electrónicos de uso doméstico
526900,REPARACIÓN DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS N.C.P.,952300,Reparación de tapizados y muebles
526900,REPARACIÓN DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS N.C.P.,952910,"Reforma y reparación de cerraduras, duplicación de llaves. Cerrajerías"
526900,REPARACIÓN DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS N.C.P.,952920,Reparación de relojes y joyas. Relojerías
526900,REPARACIÓN DE EFECTOS PERSONALES Y ENSERES DOMÉSTICOS N.C.P.,952990,Reparación de efectos personales y enseres domésticos n.c.p.
551100,SERVICIOS DE ALOJAMIENTO EN CAMPING,552000,Servicios de alojamiento en campings
551211,SERVICIOS DE ALOJAMIENTO POR HORA,551010,Servicios de alojamiento por hora
551212,"SERVICIOS DE HOTELES DE ALOJAMIENTO, TRANSITORIOS, CASAS DE CITAS YESTABLECIMIENTOS SIMILARES CUALQUIERA SEA LA DENOMINACION UTILIZADA",551010,Servicios de alojamiento por hora
551220,"SERVICIOS DE ALOJAMIENTO EN HOTELES, PENSIONES Y OTRAS RESIDENCIAS DE HOSPEDAJETEMPORAL, EXCEPTO POR HORA",551021,Servicios de alojamiento en pensiones
551220,"SERVICIOS DE ALOJAMIENTO EN HOTELES, PENSIONES Y OTRAS RESIDENCIAS DE HOSPEDAJETEMPORAL, EXCEPTO POR HORA",551022,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, queincluyen servicio de restaurante al público"
551220,"SERVICIOS DE ALOJAMIENTO EN HOTELES, PENSIONES Y OTRAS RESIDENCIAS DE HOSPEDAJETEMPORAL, EXCEPTO POR HORA",551023,"Servicios de alojamiento en hoteles, hosterías y residenciales similares, excepto por hora, que noincluyen servicio de restaurante al público"
551220,"SERVICIOS DE ALOJAMIENTO EN HOTELES, PENSIONES Y OTRAS RESIDENCIAS DE HOSPEDAJETEMPORAL, EXCEPTO POR HORA",551090,Servicios de hospedaje temporal n.c.p.
Nomenclador de Actividades IIBB 2018 Anexo II,,,
"CódigoNAIIB99",Descripción NAIIB 99,"CódigoNAIIB2018",Descripción NAIIB 2018
552111,SERVICIOS DE EXPENDIO DE COMIDAS Y BEBIDAS EN RESTAURANTES Y RECREOS,561011,Servicios de restaurantes y cantinas sin espectáculo
552111,SERVICIOS DE EXPENDIO DE COMIDAS Y BEBIDAS EN RESTAURANTES Y RECREOS,561012,Servicios de restaurantes y cantinas con espectáculo
552112,SERVICIOS DE EXPENDIO DE COMIDAS Y BEBIDAS EN BARES Y CAFETERIAS Y PIZERIAS,561013,"Servicios de ""fast food"" y locales de venta de comidas y bebidas al paso"
552112,SERVICIOS DE EXPENDIO DE COMIDAS Y BEBIDAS EN BARES Y CAFETERIAS Y PIZERIAS,561014,Servicios de expendio de bebidas en bares
